ip,timestamp,method,url,status,size,query_params
190.111.164.7,22/Jun/2024:01:14:22 +0000,PUT,/about.html?product_id=286&category=books&product_id=235,200,3981,"{""product_id"": ""235"", ""category"": ""books""}"
93.228.77.196,25/Jun/2024:08:09:22 +0000,PUT,/services.html?product_id=728&category=electronics,200,2971,"{""product_id"": ""728"", ""category"": ""electronics""}"
196.224.137.79,20/Jun/2024:23:25:22 +0000,DELETE,/faq.html?user_id=663&product_id=320&user_id=138,200,322,"{""user_id"": ""138"", ""product_id"": ""320""}"
13.224.24.185,25/Jun/2024:07:43:22 +0000,DELETE,/contact.html?product_id=91,301,2120,"{""product_id"": ""91""}"
75.108.179.75,20/Jun/2024:17:35:22 +0000,PUT,/about.html?session_id=jkl012&session_id=ghi789,200,279,"{""session_id"": ""ghi789""}"
224.15.134.151,23/Jun/2024:02:35:22 +0000,GET,/contact.html?user_id=833,404,2320,"{""user_id"": ""833""}"
190.111.164.7,20/Jun/2024:19:21:22 +0000,GET,/about.html?category=fashion,200,2120,"{""category"": ""fashion""}"
127.132.184.75,22/Jun/2024:04:48:22 +0000,GET,/login?product_id=696,302,141,"{""product_id"": ""696""}"
238.189.173.32,21/Jun/2024:17:07:22 +0000,DELETE,/products.html?category=fashion,500,3508,"{""category"": ""fashion""}"
15.89.35.67,25/Jun/2024:05:22:22 +0000,DELETE,/services.html?product_id=784&category=books,404,4228,"{""product_id"": ""784"", ""category"": ""books""}"
134.207.168.109,22/Jun/2024:20:13:22 +0000,POST,/index.html?product_id=212,200,3217,"{""product_id"": ""212""}"
72.81.114.166,20/Jun/2024:23:14:22 +0000,PUT,/products.html?session_id=jkl012&product_id=96,500,3508,"{""session_id"": ""jkl012"", ""product_id"": ""96""}"
186.137.74.198,20/Jun/2024:00:54:22 +0000,PUT,/services.html?user_id=130&user_id=436&category=electronics,200,2963,"{""user_id"": ""436"", ""category"": ""electronics""}"
141.199.38.146,25/Jun/2024:05:11:22 +0000,DELETE,/contact.html?category=electronics&product_id=232&session_id=ghi789,302,2810,"{""category"": ""electronics"", ""product_id"": ""232"", ""session_id"": ""ghi789""}"
129.173.76.59,21/Jun/2024:22:07:22 +0000,GET,/about.html?product_id=346&user_id=219&product_id=813,404,1110,"{""product_id"": ""813"", ""user_id"": ""219""}"
244.113.20.63,25/Jun/2024:21:39:22 +0000,POST,/contact.html?category=electronics&category=fashion&user_id=90,404,141,"{""category"": ""fashion"", ""user_id"": ""90""}"
129.173.76.59,21/Jun/2024:04:30:22 +0000,PUT,/about.html?user_id=130,301,1974,"{""user_id"": ""130""}"
240.57.228.32,26/Jun/2024:08:23:22 +0000,POST,/about.html?category=books&user_id=177,200,279,"{""category"": ""books"", ""user_id"": ""177""}"
13.224.24.185,22/Jun/2024:20:49:22 +0000,GET,/services.html?session_id=jkl012&user_id=370,500,354,"{""session_id"": ""jkl012"", ""user_id"": ""370""}"
160.229.223.17,26/Jun/2024:06:03:22 +0000,PUT,/contact.html?product_id=98,404,4228,"{""product_id"": ""98""}"
167.53.66.101,24/Jun/2024:12:54:22 +0000,POST,/login?session_id=abc123,200,302,"{""session_id"": ""abc123""}"
63.113.225.225,20/Jun/2024:20:04:22 +0000,POST,/login?product_id=617&user_id=985&product_id=468,302,1725,"{""product_id"": ""468"", ""user_id"": ""985""}"
151.80.55.55,23/Jun/2024:03:57:22 +0000,DELETE,/contact.html?product_id=174&session_id=ghi789&session_id=abc123,302,1635,"{""product_id"": ""174"", ""session_id"": ""abc123""}"
20.15.123.111,23/Jun/2024:02:47:22 +0000,POST,/index.html?product_id=871&category=fashion,200,322,"{""product_id"": ""871"", ""category"": ""fashion""}"
244.113.20.63,26/Jun/2024:15:56:22 +0000,DELETE,/contact.html?session_id=ghi789&category=fashion&category=toys,500,4060,"{""session_id"": ""ghi789"", ""category"": ""toys""}"
75.108.179.75,24/Jun/2024:03:52:22 +0000,DELETE,/login?category=fashion&category=home&user_id=775,200,2831,"{""category"": ""home"", ""user_id"": ""775""}"
86.144.221.240,25/Jun/2024:22:46:22 +0000,DELETE,/faq.html?user_id=282,301,2444,"{""user_id"": ""282""}"
72.81.114.166,25/Jun/2024:02:23:22 +0000,GET,/services.html?product_id=503&user_id=897,301,302,"{""product_id"": ""503"", ""user_id"": ""897""}"
72.99.191.184,23/Jun/2024:09:07:22 +0000,DELETE,/contact.html?category=toys,500,4732,"{""category"": ""toys""}"
167.53.66.101,22/Jun/2024:21:12:22 +0000,DELETE,/products.html?user_id=240&product_id=723,200,1974,"{""user_id"": ""240"", ""product_id"": ""723""}"
93.228.77.196,25/Jun/2024:10:40:22 +0000,PUT,/login?category=electronics&category=toys&category=fashion,500,141,"{""category"": ""fashion""}"
72.81.114.166,24/Jun/2024:07:08:22 +0000,GET,/products.html?product_id=233,500,2120,"{""product_id"": ""233""}"
186.137.74.198,20/Jun/2024:20:37:22 +0000,POST,/products.html?user_id=826&user_id=708&category=books,301,4060,"{""user_id"": ""708"", ""category"": ""books""}"
226.49.186.58,22/Jun/2024:18:49:22 +0000,POST,/faq.html?product_id=611&product_id=836,500,302,"{""product_id"": ""836""}"
153.1.47.251,25/Jun/2024:03:03:22 +0000,DELETE,/products.html?user_id=307&product_id=118&session_id=abc123,301,2598,"{""user_id"": ""307"", ""product_id"": ""118"", ""session_id"": ""abc123""}"
49.90.99.244,22/Jun/2024:04:44:22 +0000,DELETE,/login?category=home&session_id=abc123,500,4918,"{""category"": ""home"", ""session_id"": ""abc123""}"
248.187.87.40,23/Jun/2024:01:23:22 +0000,POST,/login?category=fashion&session_id=abc123&session_id=abc123,500,3144,"{""category"": ""fashion"", ""session_id"": ""abc123""}"
141.199.38.146,20/Jun/2024:15:25:22 +0000,GET,/services.html?user_id=517&category=electronics,301,4292,"{""user_id"": ""517"", ""category"": ""electronics""}"
127.132.184.75,23/Jun/2024:13:54:22 +0000,GET,/products.html?category=fashion&category=toys,302,2971,"{""category"": ""toys""}"
238.189.173.32,24/Jun/2024:10:12:22 +0000,GET,/login?user_id=258,200,4349,"{""user_id"": ""258""}"
62.82.168.113,22/Jun/2024:02:42:22 +0000,GET,/signup?product_id=869,500,4228,"{""product_id"": ""869""}"
35.239.32.150,22/Jun/2024:14:29:22 +0000,POST,/index.html?category=home,500,2971,"{""category"": ""home""}"
196.224.137.79,20/Jun/2024:14:25:22 +0000,PUT,/about.html?user_id=185&session_id=jkl012&category=fashion,301,2963,"{""user_id"": ""185"", ""session_id"": ""jkl012"", ""category"": ""fashion""}"
255.181.37.177,22/Jun/2024:07:59:22 +0000,POST,/services.html?product_id=575&user_id=468,404,629,"{""product_id"": ""575"", ""user_id"": ""468""}"
127.132.184.75,21/Jun/2024:12:40:22 +0000,GET,/faq.html?category=fashion&product_id=583&product_id=870,302,3508,"{""category"": ""fashion"", ""product_id"": ""870""}"
35.239.32.150,26/Jun/2024:01:08:22 +0000,PUT,/services.html?category=home&session_id=abc123,302,1725,"{""category"": ""home"", ""session_id"": ""abc123""}"
160.229.223.17,25/Jun/2024:03:59:22 +0000,GET,/contact.html?user_id=186,200,596,"{""user_id"": ""186""}"
89.222.139.151,26/Jun/2024:15:53:22 +0000,GET,/products.html?user_id=426,404,2831,"{""user_id"": ""426""}"
250.58.233.174,24/Jun/2024:02:17:22 +0000,GET,/products.html?session_id=abc123&session_id=ghi789&user_id=21,500,2572,"{""session_id"": ""ghi789"", ""user_id"": ""21""}"
137.135.249.182,20/Jun/2024:10:35:22 +0000,PUT,/signup?product_id=989,302,708,"{""product_id"": ""989""}"
93.228.77.196,24/Jun/2024:20:53:22 +0000,DELETE,/index.html?category=home&category=fashion&product_id=610,404,2120,"{""category"": ""fashion"", ""product_id"": ""610""}"
190.111.164.7,20/Jun/2024:22:56:22 +0000,PUT,/services.html?product_id=360&user_id=695,500,708,"{""product_id"": ""360"", ""user_id"": ""695""}"
57.179.44.69,25/Jun/2024:07:47:22 +0000,GET,/products.html?user_id=853&session_id=jkl012&category=fashion,302,2287,"{""user_id"": ""853"", ""session_id"": ""jkl012"", ""category"": ""fashion""}"
90.154.68.175,22/Jun/2024:23:24:22 +0000,DELETE,/services.html?user_id=538&session_id=ghi789,302,2661,"{""user_id"": ""538"", ""session_id"": ""ghi789""}"
77.25.133.33,23/Jun/2024:05:40:22 +0000,POST,/index.html?session_id=mno345&product_id=273&user_id=11,500,1110,"{""session_id"": ""mno345"", ""product_id"": ""273"", ""user_id"": ""11""}"
250.58.233.174,22/Jun/2024:18:34:22 +0000,GET,/faq.html?category=electronics&product_id=632,302,4292,"{""category"": ""electronics"", ""product_id"": ""632""}"
93.228.77.196,22/Jun/2024:00:27:22 +0000,GET,/login?session_id=jkl012&user_id=366,200,734,"{""session_id"": ""jkl012"", ""user_id"": ""366""}"
153.6.128.136,22/Jun/2024:18:14:22 +0000,PUT,/signup?session_id=jkl012&product_id=662,404,382,"{""session_id"": ""jkl012"", ""product_id"": ""662""}"
196.224.137.79,26/Jun/2024:12:43:22 +0000,PUT,/login?user_id=355&product_id=404,302,3378,"{""user_id"": ""355"", ""product_id"": ""404""}"
153.1.47.251,25/Jun/2024:19:29:22 +0000,DELETE,/contact.html?session_id=ghi789&product_id=348,200,279,"{""session_id"": ""ghi789"", ""product_id"": ""348""}"
86.144.221.240,24/Jun/2024:01:31:22 +0000,GET,/products.html?user_id=50&product_id=697&user_id=958,302,279,"{""user_id"": ""958"", ""product_id"": ""697""}"
134.207.168.109,23/Jun/2024:11:22:22 +0000,GET,/index.html?user_id=642&product_id=134&user_id=932,500,2444,"{""user_id"": ""932"", ""product_id"": ""134""}"
8.249.233.220,24/Jun/2024:18:41:22 +0000,DELETE,/services.html?category=books,301,1988,"{""category"": ""books""}"
160.229.223.17,25/Jun/2024:03:26:22 +0000,DELETE,/login?user_id=945,500,734,"{""user_id"": ""945""}"
219.108.96.228,25/Jun/2024:20:16:22 +0000,GET,/contact.html?user_id=757,301,3405,"{""user_id"": ""757""}"
89.222.139.151,26/Jun/2024:12:12:22 +0000,PUT,/about.html?session_id=jkl012&user_id=431,200,3515,"{""session_id"": ""jkl012"", ""user_id"": ""431""}"
35.239.32.150,26/Jun/2024:02:43:22 +0000,DELETE,/products.html?session_id=jkl012&product_id=104,200,2572,"{""session_id"": ""jkl012"", ""product_id"": ""104""}"
62.82.168.113,25/Jun/2024:23:06:22 +0000,DELETE,/contact.html?category=fashion&product_id=741,404,1635,"{""category"": ""fashion"", ""product_id"": ""741""}"
77.25.133.33,22/Jun/2024:22:08:22 +0000,POST,/about.html?product_id=408,301,3144,"{""product_id"": ""408""}"
137.135.249.182,21/Jun/2024:21:02:22 +0000,POST,/contact.html?category=electronics&session_id=jkl012,302,3414,"{""category"": ""electronics"", ""session_id"": ""jkl012""}"
158.20.204.46,25/Jun/2024:11:38:22 +0000,POST,/products.html?category=home&user_id=695&user_id=337,200,1500,"{""category"": ""home"", ""user_id"": ""337""}"
49.90.99.244,23/Jun/2024:06:20:22 +0000,DELETE,/products.html?user_id=287&category=toys,302,3515,"{""user_id"": ""287"", ""category"": ""toys""}"
147.77.212.177,21/Jun/2024:09:57:22 +0000,DELETE,/products.html?user_id=799&session_id=ghi789,404,2963,"{""user_id"": ""799"", ""session_id"": ""ghi789""}"
160.229.223.17,21/Jun/2024:04:34:22 +0000,DELETE,/services.html?product_id=729&session_id=def456,500,3414,"{""product_id"": ""729"", ""session_id"": ""def456""}"
72.99.191.184,22/Jun/2024:15:51:22 +0000,PUT,/signup?session_id=def456,200,2963,"{""session_id"": ""def456""}"
127.132.184.75,19/Jun/2024:21:27:22 +0000,DELETE,/products.html?session_id=ghi789,500,2053,"{""session_id"": ""ghi789""}"
250.58.233.174,19/Jun/2024:18:59:22 +0000,GET,/contact.html?category=books&category=electronics&product_id=137,302,4049,"{""category"": ""electronics"", ""product_id"": ""137""}"
35.239.32.150,20/Jun/2024:13:58:22 +0000,DELETE,/login?session_id=ghi789,302,2963,"{""session_id"": ""ghi789""}"
240.57.228.32,23/Jun/2024:20:14:22 +0000,DELETE,/index.html?user_id=365&product_id=122&product_id=458,200,596,"{""user_id"": ""365"", ""product_id"": ""458""}"
255.181.37.177,26/Jun/2024:01:29:22 +0000,PUT,/login?user_id=995,500,1635,"{""user_id"": ""995""}"
13.224.24.185,24/Jun/2024:09:21:22 +0000,POST,/contact.html?product_id=182,301,1110,"{""product_id"": ""182""}"
72.81.114.166,21/Jun/2024:13:30:22 +0000,PUT,/index.html?product_id=690&user_id=80&session_id=abc123,500,2572,"{""product_id"": ""690"", ""user_id"": ""80"", ""session_id"": ""abc123""}"
20.15.123.111,22/Jun/2024:04:54:22 +0000,DELETE,/products.html?user_id=11,301,3508,"{""user_id"": ""11""}"
240.57.228.32,24/Jun/2024:02:38:22 +0000,PUT,/login?product_id=808&session_id=abc123,301,3144,"{""product_id"": ""808"", ""session_id"": ""abc123""}"
160.229.223.17,22/Jun/2024:05:50:22 +0000,PUT,/index.html?session_id=mno345,302,1635,"{""session_id"": ""mno345""}"
224.15.134.151,21/Jun/2024:00:21:22 +0000,POST,/faq.html?user_id=319&product_id=591&product_id=855,200,1500,"{""user_id"": ""319"", ""product_id"": ""855""}"
95.191.225.234,26/Jun/2024:05:55:22 +0000,GET,/products.html?session_id=def456,301,3144,"{""session_id"": ""def456""}"
35.239.32.150,21/Jun/2024:09:18:22 +0000,PUT,/index.html?session_id=ghi789&user_id=685,200,3854,"{""session_id"": ""ghi789"", ""user_id"": ""685""}"
72.99.191.184,25/Jun/2024:05:46:22 +0000,POST,/products.html?user_id=482&session_id=ghi789&product_id=340,302,2598,"{""user_id"": ""482"", ""session_id"": ""ghi789"", ""product_id"": ""340""}"
196.224.137.79,26/Jun/2024:06:55:22 +0000,GET,/about.html?product_id=48&user_id=21,302,596,"{""product_id"": ""48"", ""user_id"": ""21""}"
141.199.38.146,25/Jun/2024:13:27:22 +0000,PUT,/faq.html?session_id=ghi789,301,2287,"{""session_id"": ""ghi789""}"
240.57.228.32,22/Jun/2024:22:36:22 +0000,POST,/signup?category=electronics,302,279,"{""category"": ""electronics""}"
167.53.66.101,22/Jun/2024:08:13:22 +0000,PUT,/faq.html?product_id=525&user_id=686,301,382,"{""product_id"": ""525"", ""user_id"": ""686""}"
15.89.35.67,25/Jun/2024:05:40:22 +0000,POST,/contact.html?category=home&session_id=mno345&product_id=792,200,2053,"{""category"": ""home"", ""session_id"": ""mno345"", ""product_id"": ""792""}"
248.187.87.40,24/Jun/2024:13:16:22 +0000,GET,/faq.html?product_id=689,500,2963,"{""product_id"": ""689""}"
129.173.76.59,21/Jun/2024:09:01:22 +0000,GET,/faq.html?session_id=abc123&session_id=def456,301,354,"{""session_id"": ""def456""}"
149.43.222.103,26/Jun/2024:10:32:22 +0000,PUT,/about.html?product_id=659&category=home,404,2661,"{""product_id"": ""659"", ""category"": ""home""}"
153.6.128.136,24/Jun/2024:20:29:22 +0000,POST,/index.html?user_id=48&user_id=555&product_id=482,500,3414,"{""user_id"": ""555"", ""product_id"": ""482""}"
151.80.55.55,25/Jun/2024:02:44:22 +0000,DELETE,/about.html?category=home,302,2661,"{""category"": ""home""}"
129.173.76.59,25/Jun/2024:13:52:22 +0000,DELETE,/contact.html?category=fashion&session_id=abc123,302,596,"{""category"": ""fashion"", ""session_id"": ""abc123""}"
147.77.212.177,22/Jun/2024:18:40:22 +0000,PUT,/products.html?product_id=266&product_id=550&user_id=994,301,2444,"{""product_id"": ""550"", ""user_id"": ""994""}"
141.199.38.146,21/Jun/2024:06:32:22 +0000,GET,/login?session_id=ghi789&category=electronics&session_id=mno345,500,1988,"{""session_id"": ""mno345"", ""category"": ""electronics""}"
49.90.99.244,25/Jun/2024:09:03:22 +0000,PUT,/contact.html?category=electronics,200,1500,"{""category"": ""electronics""}"
46.189.5.214,22/Jun/2024:20:01:22 +0000,POST,/signup?product_id=534&category=books,200,3405,"{""product_id"": ""534"", ""category"": ""books""}"
134.207.168.109,21/Jun/2024:17:48:22 +0000,DELETE,/index.html?product_id=629&session_id=abc123&user_id=399,302,708,"{""product_id"": ""629"", ""session_id"": ""abc123"", ""user_id"": ""399""}"
63.113.225.225,23/Jun/2024:13:02:22 +0000,PUT,/about.html?user_id=609,404,2053,"{""user_id"": ""609""}"
93.228.77.196,24/Jun/2024:19:46:22 +0000,PUT,/faq.html?product_id=156&user_id=326,301,4732,"{""product_id"": ""156"", ""user_id"": ""326""}"
226.49.186.58,21/Jun/2024:12:23:22 +0000,POST,/index.html?product_id=821&user_id=422&session_id=def456,301,2598,"{""product_id"": ""821"", ""user_id"": ""422"", ""session_id"": ""def456""}"
8.249.233.220,20/Jun/2024:10:45:22 +0000,PUT,/contact.html?product_id=288&category=home&session_id=abc123,302,322,"{""product_id"": ""288"", ""category"": ""home"", ""session_id"": ""abc123""}"
15.89.35.67,21/Jun/2024:08:25:22 +0000,POST,/services.html?user_id=570&category=toys&user_id=603,500,3508,"{""user_id"": ""603"", ""category"": ""toys""}"
63.113.225.225,21/Jun/2024:05:04:22 +0000,GET,/faq.html?product_id=948,200,2053,"{""product_id"": ""948""}"
127.132.184.75,19/Jun/2024:18:48:22 +0000,GET,/login?product_id=67&session_id=jkl012&user_id=374,404,382,"{""product_id"": ""67"", ""session_id"": ""jkl012"", ""user_id"": ""374""}"
101.137.132.71,25/Jun/2024:05:28:22 +0000,PUT,/index.html?category=books,404,2287,"{""category"": ""books""}"
86.238.237.49,26/Jun/2024:07:21:22 +0000,POST,/index.html?category=toys&category=home&user_id=108,500,3515,"{""category"": ""home"", ""user_id"": ""108""}"
74.240.191.221,21/Jun/2024:18:16:22 +0000,PUT,/services.html?session_id=abc123&product_id=826&product_id=874,200,2517,"{""session_id"": ""abc123"", ""product_id"": ""874""}"
101.137.132.71,21/Jun/2024:06:41:22 +0000,GET,/faq.html?product_id=808&product_id=949&session_id=ghi789,302,3405,"{""product_id"": ""949"", ""session_id"": ""ghi789""}"
224.15.134.151,22/Jun/2024:03:08:22 +0000,PUT,/services.html?category=books,301,2517,"{""category"": ""books""}"
190.111.164.7,23/Jun/2024:21:09:22 +0000,PUT,/products.html?session_id=jkl012&user_id=879,500,4060,"{""session_id"": ""jkl012"", ""user_id"": ""879""}"
186.137.74.198,22/Jun/2024:01:47:22 +0000,POST,/products.html?product_id=931&category=home&user_id=927,200,4349,"{""product_id"": ""931"", ""category"": ""home"", ""user_id"": ""927""}"
74.240.191.221,20/Jun/2024:23:53:22 +0000,DELETE,/products.html?session_id=jkl012&user_id=435,301,4292,"{""session_id"": ""jkl012"", ""user_id"": ""435""}"
240.57.228.32,25/Jun/2024:01:05:22 +0000,DELETE,/about.html?product_id=857&category=fashion,302,2517,"{""product_id"": ""857"", ""category"": ""fashion""}"
57.179.44.69,22/Jun/2024:05:22:22 +0000,PUT,/faq.html?session_id=jkl012&category=books,200,1725,"{""session_id"": ""jkl012"", ""category"": ""books""}"
49.90.99.244,22/Jun/2024:22:55:22 +0000,PUT,/services.html?session_id=ghi789&product_id=217,301,4267,"{""session_id"": ""ghi789"", ""product_id"": ""217""}"
167.53.66.101,20/Jun/2024:18:03:22 +0000,POST,/contact.html?category=toys,404,2661,"{""category"": ""toys""}"
167.53.66.101,26/Jun/2024:08:21:22 +0000,POST,/index.html?user_id=244&product_id=629,404,404,"{""user_id"": ""244"", ""product_id"": ""629""}"
75.108.179.75,20/Jun/2024:15:44:22 +0000,POST,/faq.html?product_id=204&category=books&session_id=mno345,302,2120,"{""product_id"": ""204"", ""category"": ""books"", ""session_id"": ""mno345""}"
49.90.99.244,20/Jun/2024:23:05:22 +0000,POST,/faq.html?product_id=532&product_id=926&session_id=mno345,301,4349,"{""product_id"": ""926"", ""session_id"": ""mno345""}"
238.189.173.32,23/Jun/2024:06:41:22 +0000,POST,/services.html?user_id=67&category=home,404,3432,"{""user_id"": ""67"", ""category"": ""home""}"
77.25.133.33,22/Jun/2024:03:29:22 +0000,POST,/services.html?category=fashion&user_id=677&user_id=718,302,1635,"{""category"": ""fashion"", ""user_id"": ""718""}"
13.224.24.185,25/Jun/2024:10:35:22 +0000,DELETE,/index.html?session_id=ghi789,301,3254,"{""session_id"": ""ghi789""}"
93.228.77.196,24/Jun/2024:07:28:22 +0000,GET,/faq.html?product_id=125&session_id=abc123,500,3378,"{""product_id"": ""125"", ""session_id"": ""abc123""}"
